Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (MB),Peak PgCache (MB),Avg Sys CPU (%),Peak Sys CPU (%),Iter
1,1m|1g|1|randread|1|20,89.30,-,40.99,685.00,236.02,250.52,11198.14,16809.12,0.10,0.50,3
2,1m|1m|1|randread|1|200,42.21,-,221.87,623.00,218.95,252.28,6055.63,6182.08,0.06,0.10,3
3,1m|2g|1|randread|1|10,85.92,-,40.52,676.00,232.68,250.06,10915.76,17034.72,0.11,0.50,3
4,1m|4m|1|randread|1|150,76.76,-,172.90,602.00,240.13,263.92,6238.46,6608.22,0.11,0.40,3
5,1m|5g|1|randread|1|10,94.86,-,39.79,651.00,225.91,241.02,11360.25,17913.53,0.11,0.40,3
6,1m|8m|1|randread|1|120,79.23,-,144.37,726.00,245.87,272.86,6429.38,6968.47,0.08,0.20,3
7,1m|10g|1|randread|1|4,81.59,-,38.14,714.00,229.55,238.34,11446.14,16959.24,0.10,0.30,3
8,1m|16m|1|randread|1|120,78.80,-,105.90,705.00,245.66,267.30,7566.45,8532.60,0.11,0.50,3
9,1m|32m|1|randread|1|100,82.19,-,74.90,758.00,250.53,264.37,8231.10,9924.85,0.12,0.80,3
10,1m|64m|1|randread|1|100,82.23,-,49.34,745.00,247.76,262.76,9867.70,13146.53,0.10,0.50,3
11,64k|64k|1|randread|1|400,3.62,-,166.27,690.00,235.29,255.19,6753.34,6768.75,0.04,0.10,3
12,256k|256k|1|randread|1|400,14.56,-,189.03,817.00,233.09,247.40,6778.13,6845.83,0.07,0.30,3
13,1m|1g|1|randread|48|20,4283.63,-,915.37,974.00,651.91,698.94,251379.93,508633.39,3.04,5.20,3
14,1m|1m|1|randread|48|200,2404.88,-,268.08,652.00,257.44,390.09,7569.11,11974.91,7.14,74.90,3
15,1m|2g|1|randread|48|10,4161.77,-,890.34,960.00,598.00,673.63,246061.07,497416.82,2.88,4.40,3
16,1m|4m|1|randread|48|150,3396.72,-,690.06,1220.00,447.43,636.08,16639.05,34388.21,4.28,8.60,3
17,1m|5g|1|randread|48|10,4304.19,-,899.62,979.00,459.20,670.43,252964.32,531777.85,2.89,4.90,3
18,1m|8m|1|randread|48|120,3358.86,-,1032.33,1838.00,584.37,857.68,25654.99,51981.92,5.85,19.90,3
19,1m|10g|1|randread|48|4,4210.69,-,914.69,969.00,410.41,671.97,249128.82,507115.40,2.92,4.70,3
20,1m|16m|1|randread|48|120,3422.35,-,1189.19,1927.00,711.72,948.83,48273.58,97571.22,7.23,23.10,3
21,1m|32m|1|randread|48|100,3720.06,-,1034.90,1465.00,739.52,937.74,79486.37,159009.89,4.88,19.20,3
22,1m|64m|1|randread|48|100,3968.96,-,997.89,1285.00,783.50,952.29,155375.81,312082.94,4.42,22.90,3
23,64k|64k|1|randread|48|400,199.02,-,178.90,663.00,285.19,393.34,5665.03,6489.41,5.13,74.60,3
24,256k|256k|1|randread|48|400,777.04,-,196.05,670.00,285.89,402.12,6365.88,9600.72,11.59,89.40,3
37,1m|1g|1|read|1|20,603.41,-,142.43,675.00,236.40,246.30,15158.25,25616.67,0.29,0.60,3
38,1m|1m|1|read|1|200,44.32,-,256.99,694.00,224.21,240.63,5840.52,5987.79,0.04,0.10,3
39,1m|2g|1|read|1|10,627.82,-,137.89,565.00,229.73,246.44,15335.75,25829.38,0.31,0.60,3
40,1m|4m|1|read|1|150,134.63,-,269.77,712.00,212.37,223.57,5921.67,6160.29,0.07,0.10,3
41,1m|5g|1|read|1|10,624.35,-,122.58,753.00,242.84,258.33,30446.19,56988.12,0.30,0.50,3
42,1m|8m|1|read|1|120,211.46,-,293.36,770.00,208.59,212.94,6033.33,6412.42,0.10,0.20,3
43,1m|10g|1|read|1|4,605.91,-,125.23,735.00,242.81,260.14,25545.72,46899.10,0.31,0.70,3
44,1m|16m|1|read|1|120,310.80,-,213.62,597.00,210.77,220.09,6616.17,7590.59,0.13,0.30,3
45,1m|32m|1|read|1|100,426.76,-,242.09,708.00,227.91,244.87,7100.44,9058.92,0.20,0.30,3
46,1m|64m|1|read|1|100,526.70,-,170.19,622.00,213.22,239.11,8665.03,12337.37,0.23,0.30,3
47,64k|64k|1|read|1|400,3.49,-,184.75,748.00,226.39,238.93,5945.71,5959.85,0.03,0.10,3
48,256k|256k|1|read|1|400,13.64,-,165.29,657.00,219.65,231.15,5968.82,6040.02,0.03,0.10,3
49,1m|1g|1|read|48|20,13355.51,-,2379.43,2737.00,678.81,759.10,436035.77,709198.24,7.93,9.50,3
50,1m|1m|1|read|48|200,2275.37,-,293.29,794.00,264.18,389.55,7167.15,14398.80,5.41,61.90,3
51,1m|2g|1|read|48|10,13166.51,-,2280.07,2670.00,680.36,787.19,433130.58,709102.42,7.70,9.50,3
52,1m|4m|1|read|48|150,6921.92,-,472.50,742.00,324.42,507.00,11792.62,27604.01,2.27,4.60,3
53,1m|5g|1|read|48|10,14055.99,-,2585.10,2947.00,706.93,781.35,539466.52,709288.25,8.37,9.80,3
54,1m|8m|1|read|48|120,10237.92,-,678.83,1292.00,368.79,579.34,18639.35,47160.69,3.62,7.70,3
55,1m|10g|1|read|48|4,14048.55,-,2416.22,2868.00,718.94,795.55,527303.68,708594.12,8.32,9.90,3
56,1m|16m|1|read|48|120,11924.78,-,945.60,1793.00,430.25,695.61,31789.46,80690.48,4.99,9.00,3
57,1m|32m|1|read|48|100,12397.23,-,1344.29,2153.00,496.59,669.75,62091.31,145581.38,5.91,9.40,3
58,1m|64m|1|read|48|100,12846.12,-,1746.72,2447.00,613.46,746.05,135732.98,305434.36,6.84,8.80,3
59,64k|64k|1|read|48|400,196.83,-,177.38,688.00,279.36,386.84,5035.62,5913.63,5.00,97.10,3
60,256k|256k|1|read|48|400,756.22,-,207.20,900.00,281.58,399.15,5756.37,9512.43,0.67,3.70,3
61,1m|1g|1|read|96|20,13822.99,-,2440.05,2691.00,1204.44,1350.78,534707.32,708434.49,8.38,10.40,3
62,1m|1m|1|read|96|200,4403.81,-,286.00,664.00,328.65,543.37,9185.88,24101.22,1.35,5.10,3
63,1m|2g|1|read|96|10,13984.26,-,2561.21,2727.00,1188.97,1305.16,538873.51,707845.16,8.63,10.20,3
64,1m|4m|1|read|96|150,10092.49,-,511.19,1169.00,436.79,892.15,17584.43,60576.51,8.01,75.00,3
65,1m|5g|1|read|96|10,14041.57,-,2608.57,2759.00,1153.02,1257.29,540218.90,707967.50,8.69,9.90,3
66,1m|8m|1|read|96|120,11267.45,-,715.50,1724.00,563.00,1081.18,28944.40,90075.66,4.62,8.90,3
67,1m|10g|1|read|96|4,14049.93,-,2666.63,2781.00,1157.11,1283.51,543375.27,708494.00,8.72,10.40,3
68,1m|16m|1|read|96|120,12605.45,-,1189.56,2055.00,776.46,1143.54,73562.69,185559.96,7.79,44.70,3
69,1m|32m|1|read|96|100,13083.61,-,1592.24,2345.00,900.00,1203.17,130283.08,311971.51,6.86,9.80,3
70,1m|64m|1|read|96|100,13333.67,-,1923.55,2538.00,1037.92,1324.35,280746.25,619172.33,7.52,10.40,3
71,64k|64k|1|read|96|400,380.35,-,182.73,676.00,324.04,498.71,5168.07,7161.94,0.71,5.50,3
72,256k|256k|1|read|96|400,1537.24,-,201.45,888.00,326.31,525.92,6318.35,14386.91,4.13,93.70,3
